# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:14:44.287603
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 158

## 每个因子的平均 IC 和 Rank IC (按平均 IC 排序)
           avg_ic  avg_rank_ic  rank_ic  rank_rank_ic
CNTP60   0.022248     0.008108        1            43
RSQR20   0.022234     0.023229        2             3
RESI5    0.022200     0.012394        3            22
ROC5     0.016405     0.027278        4             1
VSUMP10  0.015454     0.008287        5            38
VSUMD10  0.015454     0.008287        6            39
KLEN     0.015258    -0.002911        7            97
CNTP30   0.014498    -0.002959        8            98
RSV60    0.014161     0.004082        9            59
CNTN30   0.014097     0.011519       10            24
STD20    0.013812     0.009366       11            33
CNTP20   0.013478    -0.003628       12           104
STD30    0.013360     0.009020       13            34
CNTN60   0.013355     0.002821       14            69
RSV20    0.013264     0.002484       15            71
CNTP10   0.012767    -0.003676       16           105
IMIN5    0.012662     0.016946       17             9
BETA60   0.012510     0.004159       18            56
RSQR10   0.012219     0.015304       19            11
SUMP10   0.011221     0.002311       20            73
SUMD10   0.011221     0.002313       21            72
VSUMP20  0.011038     0.003404       22            62
VSUMD20  0.011038     0.003404       23            63
RSV30    0.010744     0.001519       24            76
STD10    0.010644     0.011382       25            25
VSUMP30  0.010089    -0.004515       26           112
VSUMD30  0.010089    -0.004516       27           113
WVMA30   0.009803     0.006514       28            45
ROC30    0.009551     0.014982       29            13
RSQR30   0.009230     0.010459       30            29
RSV10    0.009208    -0.001457       31            84
SUMP60   0.009119     0.003289       32            65
SUMD60   0.009119     0.003289       33            64
BETA20   0.009048    -0.004362       34           110
IMAX60   0.008974     0.004371       35            55
CNTN20   0.008775     0.010472       36            28
WVMA10   0.008658     0.009915       37            31
QTLU30   0.008600     0.016515       38            10
VSUMD60  0.008359    -0.002015       39            90
VSUMP60  0.008359    -0.002015       40            89
QTLU10   0.008212     0.018715       41             6
IMIN60   0.007523     0.010485       42            27
MA10     0.007438     0.020461       43             4
KMID2    0.007292    -0.002606       44            95
ROC20    0.007230     0.013774       45            19
RANK20   0.007216    -0.001656       46            87
WVMA20   0.007091     0.005736       47            50
IMIN30   0.006825     0.010958       48            26
IMAX20   0.006532    -0.001609       49            86
CNTD60   0.006348     0.003027       50            67
RANK60   0.006331    -0.001021       51            83
BETA30   0.006272    -0.009324       52           131
ROC10    0.006185     0.012081       53            23
CNTD10   0.006057    -0.005938       54           121
MA30     0.005959     0.014589       55            14
CNTN5    0.005828     0.013083       56            20
RANK30   0.005791    -0.001693       57            88
QTLU20   0.005772     0.012779       58            21
KMID     0.005483    -0.002746       59            96
SUMP20   0.005341    -0.005409       60           117
SUMD20   0.005341    -0.005408       61           116
MA5      0.005164     0.023241       62             2
QTLD5    0.005134     0.018941       63             5
QTLD60   0.005070     0.017065       64             8
MA60     0.004205     0.010389       65            30
MAX30    0.004069     0.004084       66            58
HIGH0    0.004006    -0.000013       67            79
RSQR5    0.003974     0.006271       68            47
MA20     0.003900     0.013793       69            18
MAX5     0.003462     0.008717       70            35
WVMA60   0.003307    -0.000167       71            80
MAX10    0.003212     0.005290       72            53
QTLU60   0.003068     0.008238       73            40
SUMN5    0.003041     0.008698       74            36
CNTD20   0.002824    -0.007043       75           125
IMIN20   0.002771     0.006358       76            46
QTLD30   0.002692     0.014055       77            16
RANK10   0.002387    -0.005889       78           120
VSUMN5   0.002350     0.006924       79            44
MAX20    0.002211     0.003669       80            61
QTLD10   0.002185     0.015210       81            12
IMIN10   0.002144     0.003737       82            60
CNTP5    0.001937    -0.011726       83           135
IMAX30   0.001773    -0.000718       84            81
IMAX10   0.001725    -0.003149       85            99
CNTN10   0.001668     0.008109       86            42
QTLU5    0.001616     0.018608       87             7
IMXD20   0.001567    -0.004384       88           111
KSFT2    0.001398    -0.003788       89           108
IMXD60   0.001391    -0.005148       90           115
QTLD20   0.001379     0.014265       91            15
IMXD10   0.001139    -0.003738       92           107
KSFT     0.001010    -0.003316       93           101
STD60    0.000623    -0.005524       94           118
SUMD30   0.000424    -0.009788       95           133
SUMP30   0.000424    -0.009785       96           132
CNTD30   0.000115    -0.006946       97           124
BETA10   0.000072    -0.014422       98           139
RSV5     0.000012    -0.011224       99           134
KUP     -0.000189    -0.004656      100           114
SUMN30  -0.000424     0.009785      101            32
ROC60   -0.000478     0.000084      102            77
WVMA5   -0.000501     0.005495      103            51
MIN5    -0.000959     0.013960      104            17
MAX60   -0.000967    -0.002398      105            93
STD5    -0.001703    -0.001599      106            85
CNTD5   -0.002084    -0.012961      107           137
VSTD5   -0.002321     0.001940      108            75
RSQR60  -0.002347    -0.005721      109           119
VSUMP5  -0.002350    -0.006924      110           122
VSUMD5  -0.002350    -0.006924      111           123
VMA5    -0.002411     0.006127      112            48
SUMD5   -0.003061    -0.008723      113           129
SUMP5   -0.003067    -0.008725      114           130
KUP2    -0.003561    -0.008687      115           128
IMXD30  -0.003565    -0.008547      116           127
RESI10  -0.003936    -0.012445      117           136
RESI30  -0.004021    -0.014649      118           140
VSTD10  -0.005296     0.000040      119            78
SUMN20  -0.005341     0.005408      120            52
