# Alpha158 因子 IC 和 Rank IC 分析结果
分析时间: 2026-04-17 14:13:14.219491
时间范围: 2018-01-01 到 2018-12-31
股票池: csi300
因子数量: 157

因子名称,平均 IC,IC 标准差,IC>0 比例,平均 Rank IC,Rank IC 标准差,Rank IC>0 比例
KMID,0.005483,0.159112,0.5226,-0.002746,0.164723,0.4897
KLEN,0.015258,0.169317,0.5473,-0.002911,0.186277,0.5021
KMID2,0.007292,0.139846,0.5144,-0.002606,0.148964,0.4979
KUP,-0.000189,0.134721,0.4691,-0.004656,0.131124,0.4691
KUP2,-0.003561,0.103142,0.4815,-0.008687,0.105163,0.4444
KLOW,-0.012124,0.116862,0.4609,-0.021627,0.116949,0.4115
KLOW2,-0.019392,0.109778,0.4280,-0.016599,0.114950,0.4403
KSFT,0.001010,0.153694,0.4650,-0.003316,0.161117,0.4815
KSFT2,0.001398,0.129486,0.4856,-0.003788,0.137997,0.5021
OPEN0,-0.005542,0.158969,0.4774,0.002747,0.164721,0.5103
HIGH0,0.004006,0.157328,0.5062,-0.000013,0.165039,0.4691
LOW0,-0.007484,0.147037,0.5144,0.008231,0.153313,0.5432
ROC5,0.016405,0.196404,0.5103,0.027278,0.203238,0.5226
ROC10,0.006185,0.204110,0.4938,0.012081,0.208235,0.4856
ROC20,0.007230,0.205921,0.4733,0.013774,0.211594,0.4897
ROC30,0.009551,0.209047,0.4609,0.014982,0.212625,0.4856
ROC60,-0.000478,0.199144,0.4444,0.000084,0.202867,0.4527
MA5,0.005164,0.186467,0.4774,0.023241,0.189333,0.5309
MA10,0.007438,0.202659,0.4897,0.020461,0.208281,0.5350
MA20,0.003900,0.210776,0.4938,0.013793,0.218108,0.5185
MA30,0.005959,0.216203,0.5103,0.014589,0.220277,0.5144
MA60,0.004205,0.217474,0.4733,0.010389,0.219322,0.4897
STD5,-0.001703,0.179220,0.5267,-0.001599,0.190526,0.4938
STD10,0.010644,0.182796,0.5556,0.011382,0.203507,0.5309
STD20,0.013812,0.182253,0.5432,0.009366,0.203141,0.5144
STD30,0.013360,0.184833,0.5309,0.009020,0.207247,0.4979
STD60,0.000623,0.164770,0.4774,-0.005524,0.193532,0.4815
BETA5,-0.014669,0.196964,0.4979,-0.030430,0.197495,0.4527
BETA10,0.000072,0.202484,0.5103,-0.014422,0.204975,0.5021
BETA20,0.009048,0.202233,0.5597,-0.004362,0.207443,0.5062
BETA30,0.006272,0.203939,0.5432,-0.009324,0.205066,0.5144
BETA60,0.012510,0.198603,0.5761,0.004159,0.193106,0.5556
RSQR5,0.003974,0.114399,0.4938,0.006271,0.124848,0.4938
RSQR10,0.012219,0.133127,0.5021,0.015304,0.139067,0.5144
RSQR20,0.022234,0.126332,0.5597,0.023229,0.130565,0.5638
RSQR30,0.009230,0.124920,0.5226,0.010459,0.128548,0.5267
RSQR60,-0.002347,0.109022,0.4609,-0.005721,0.112917,0.4856
RESI5,0.022200,0.156549,0.5720,0.012394,0.162616,0.5267
RESI10,-0.003936,0.155674,0.4979,-0.012445,0.162441,0.4444
RESI20,-0.010528,0.176758,0.4733,-0.020914,0.175194,0.4856
RESI30,-0.004021,0.179563,0.5021,-0.014649,0.183792,0.4733
RESI60,-0.013585,0.187548,0.4897,-0.022993,0.192811,0.4897
MAX5,0.003462,0.186959,0.4938,0.008717,0.196384,0.4856
MAX10,0.003212,0.187476,0.4774,0.005290,0.205437,0.4815
MAX20,0.002211,0.191865,0.4691,0.003669,0.211326,0.4733
MAX30,0.004069,0.198590,0.4733,0.004084,0.220375,0.4815
MAX60,-0.000967,0.201843,0.4650,-0.002398,0.224177,0.4774
MIN5,-0.000959,0.172168,0.5062,0.013960,0.170413,0.5473
MIN10,-0.006056,0.186594,0.4733,0.008612,0.179444,0.5144
MIN20,-0.008909,0.200675,0.5021,0.003002,0.192210,0.5144
MIN30,-0.006309,0.208942,0.5021,0.004136,0.199569,0.5062
MIN60,-0.006115,0.207231,0.5021,0.005933,0.196966,0.4774
QTLU5,0.001616,0.182329,0.5185,0.018608,0.187684,0.5432
QTLU10,0.008212,0.193723,0.5021,0.018715,0.205820,0.5185
QTLU20,0.005772,0.197848,0.5021,0.012779,0.212385,0.5062
QTLU30,0.008600,0.203556,0.4938,0.016515,0.216784,0.5103
QTLU60,0.003068,0.207267,0.4691,0.008238,0.218595,0.4815
QTLD5,0.005134,0.174989,0.5226,0.018941,0.178537,0.5103
QTLD10,0.002185,0.191259,0.4897,0.015210,0.192079,0.5309
QTLD20,0.001379,0.212431,0.4774,0.014265,0.212618,0.4938
QTLD30,0.002692,0.217288,0.4938,0.014055,0.216328,0.5103
QTLD60,0.005070,0.209897,0.4774,0.017065,0.205639,0.4979
RANK5,-0.005672,0.152239,0.4897,-0.017108,0.161524,0.4815
RANK10,0.002387,0.165813,0.5144,-0.005889,0.173619,0.4856
RANK20,0.007216,0.185500,0.5514,-0.001656,0.192309,0.5309
RANK30,0.005791,0.189323,0.5473,-0.001693,0.196530,0.5062
RANK60,0.006331,0.195907,0.5350,-0.001021,0.199160,0.5267
RSV5,0.000012,0.163809,0.5144,-0.011224,0.170724,0.4938
RSV10,0.009208,0.174088,0.5597,-0.001457,0.181891,0.5185
RSV20,0.013264,0.188227,0.5514,0.002484,0.195527,0.5021
RSV30,0.010744,0.197064,0.5391,0.001519,0.203631,0.5350
RSV60,0.014161,0.204387,0.5679,0.004082,0.208575,0.5514
IMAX5,-0.010341,0.144857,0.4733,-0.018464,0.150254,0.4609
IMAX10,0.001725,0.145490,0.5473,-0.003149,0.147990,0.5391
IMAX20,0.006532,0.163588,0.5597,-0.001609,0.164435,0.5144
IMAX30,0.001773,0.163608,0.5391,-0.000718,0.166124,0.5267
IMAX60,0.008974,0.160873,0.5720,0.004371,0.155527,0.5391
IMIN5,0.012662,0.129406,0.5309,0.016946,0.140286,0.5597
IMIN10,0.002144,0.141207,0.5144,0.003737,0.142315,0.4938
IMIN20,0.002771,0.139230,0.4938,0.006358,0.146719,0.5062
IMIN30,0.006825,0.138587,0.5103,0.010958,0.143981,0.5062
IMIN60,0.007523,0.145390,0.5021,0.010485,0.144023,0.5103
IMXD5,-0.013283,0.148907,0.4691,-0.018832,0.155259,0.4486
IMXD10,0.001139,0.156427,0.5267,-0.003738,0.158274,0.5267
IMXD20,0.001567,0.166467,0.5144,-0.004384,0.173788,0.4897
IMXD30,-0.003565,0.167269,0.5226,-0.008547,0.172714,0.5144
IMXD60,0.001391,0.172222,0.5350,-0.005148,0.168933,0.5062
CORR5,-0.016393,0.125395,0.4403,-0.016372,0.133495,0.4362
CORR10,-0.017734,0.147520,0.4733,-0.023140,0.151142,0.4321
CORR20,-0.016549,0.150400,0.4774,-0.023789,0.153655,0.4527
CORR30,-0.015640,0.149876,0.4609,-0.017886,0.152155,0.4774
CORR60,-0.013567,0.134906,0.4856,-0.014069,0.136842,0.4979
CORD5,-0.011758,0.135597,0.4568,-0.016372,0.138646,0.4239
CORD10,-0.013695,0.145379,0.4733,-0.019071,0.151021,0.4527
CORD20,-0.016051,0.144940,0.4650,-0.025653,0.153176,0.4568
CORD30,-0.020995,0.141439,0.4733,-0.026888,0.147843,0.4403
CORD60,-0.014648,0.130154,0.4733,-0.017648,0.139648,0.4527
CNTP5,0.001937,0.136115,0.5185,-0.011726,0.142037,0.4856
CNTP10,0.012767,0.138725,0.5391,-0.003676,0.138489,0.5144
CNTP20,0.013478,0.145168,0.5473,-0.003628,0.145501,0.4774
CNTP30,0.014498,0.149028,0.5267,-0.002959,0.150462,0.4979
CNTP60,0.022248,0.138032,0.5802,0.008108,0.132966,0.5556
CNTN5,0.005828,0.141728,0.5103,0.013083,0.147593,0.5062
CNTN10,0.001668,0.140186,0.5062,0.008109,0.142850,0.5103
CNTN20,0.008775,0.137676,0.4938,0.010472,0.141736,0.4815
CNTN30,0.014097,0.142333,0.5103,0.011519,0.147819,0.5103
CNTN60,0.013355,0.130648,0.5185,0.002821,0.130995,0.4609
CNTD5,-0.002084,0.140217,0.5062,-0.012961,0.147146,0.4938
CNTD10,0.006057,0.140511,0.5267,-0.005938,0.142594,0.4938
CNTD20,0.002824,0.141584,0.5062,-0.007043,0.145034,0.4815
CNTD30,0.000115,0.147047,0.4815,-0.006946,0.152367,0.4815
CNTD60,0.006348,0.134656,0.5391,0.003027,0.134744,0.5185
SUMP5,-0.003067,0.171365,0.5103,-0.008725,0.178515,0.4938
SUMP10,0.011221,0.181188,0.5391,0.002311,0.188475,0.5391
SUMP20,0.005341,0.186172,0.5103,-0.005409,0.196832,0.5144
SUMP30,0.000424,0.195540,0.5267,-0.009785,0.203265,0.5185
SUMP60,0.009119,0.191143,0.5720,0.003289,0.189963,0.5556
SUMN5,0.003041,0.171351,0.4897,0.008698,0.178511,0.5062
SUMN10,-0.011221,0.181188,0.4609,-0.002312,0.188474,0.4609
SUMN20,-0.005341,0.186172,0.4897,0.005408,0.196833,0.4856
SUMN30,-0.000424,0.195540,0.4733,0.009785,0.203264,0.4815
SUMN60,-0.009119,0.191143,0.4280,-0.003289,0.189963,0.4444
SUMD5,-0.003061,0.171362,0.5103,-0.008723,0.178514,0.4938
SUMD10,0.011221,0.181188,0.5391,0.002313,0.188474,0.5391
SUMD20,0.005341,0.186172,0.5103,-0.005408,0.196832,0.5144
SUMD30,0.000424,0.195540,0.5267,-0.009788,0.203264,0.5185
SUMD60,0.009119,0.191143,0.5720,0.003289,0.189962,0.5556
VMA5,-0.002411,0.117715,0.5185,0.006127,0.123901,0.5144
VMA10,-0.008181,0.122600,0.4568,-0.000828,0.129787,0.4774
VMA20,-0.013025,0.122598,0.4239,-0.003517,0.135639,0.4527
VMA30,-0.012750,0.126375,0.4362,-0.002026,0.141095,0.4568
VMA60,-0.014413,0.141908,0.4733,0.003235,0.152148,0.4938
VSTD5,-0.002321,0.101570,0.4774,0.001940,0.110938,0.5103
VSTD10,-0.005296,0.107062,0.4486,0.000040,0.119362,0.4856
VSTD20,-0.008212,0.103254,0.4444,-0.003694,0.121988,0.4527
VSTD30,-0.007417,0.106052,0.4691,-0.002459,0.125167,0.4650
VSTD60,-0.012235,0.128982,0.4362,-0.004253,0.142976,0.4774
WVMA5,-0.000501,0.093697,0.5185,0.005495,0.098408,0.5473
WVMA10,0.008658,0.097421,0.5144,0.009915,0.102448,0.5226
WVMA20,0.007091,0.103543,0.5309,0.005736,0.112583,0.5021
WVMA30,0.009803,0.114473,0.5144,0.006514,0.124866,0.4897
WVMA60,0.003307,0.126217,0.5226,-0.000167,0.134415,0.5021
VSUMP5,-0.002350,0.110459,0.5226,-0.006924,0.114001,0.4691
VSUMP10,0.015454,0.111846,0.5597,0.008287,0.121075,0.5556
VSUMP20,0.011038,0.119036,0.5556,0.003404,0.128866,0.5432
VSUMP30,0.010089,0.118260,0.5267,-0.004515,0.126938,0.5144
VSUMP60,0.008359,0.115946,0.5432,-0.002015,0.128706,0.4733
VSUMN5,0.002350,0.110459,0.4774,0.006924,0.114001,0.5309
VSUMN10,-0.015454,0.111846,0.4403,-0.008288,0.121075,0.4444
VSUMN20,-0.011038,0.119036,0.4444,-0.003404,0.128866,0.4568
VSUMN30,-0.010089,0.118260,0.4733,0.004516,0.126938,0.4856
VSUMN60,-0.008359,0.115946,0.4568,0.002015,0.128707,0.5267
VSUMD5,-0.002350,0.110459,0.5226,-0.006924,0.114001,0.4691
VSUMD10,0.015454,0.111846,0.5597,0.008287,0.121075,0.5556
VSUMD20,0.011038,0.119036,0.5556,0.003404,0.128866,0.5432
VSUMD30,0.010089,0.118260,0.5267,-0.004516,0.126938,0.5144
VSUMD60,0.008359,0.115946,0.5432,-0.002015,0.128707,0.4733
